,Brand,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
601,Yamaha,Yamaha MT-15 BS6,2024.0,175000.0,Yes,Kurnool, Andhra Pradesh
602,Bajaj,Bajaj Dominar 400 Disc,2019.0,95000.0,Yes,"Electronic City, Bangalore", Karnataka
605,Suzuki,Suzuki GS 150R,2025.0,130000.0,Yes,"Karawal Nagar, North East Delhi", Delhi
606,Bajaj,Bajaj Pulsar 150 DTSi,2015.0,30000.0,Yes,Thane, Maharashtra
607,QJ,QJ Motor SRC500,2024.0,225000.0,Yes,"Hebbal, Bangalore", Karnataka
608,Royal Enfield,Royal Enfield Super Meteor 650,2023.0,380000.0,Yes,Indore, Madhya Pradesh
609,Royal Enfield,Royal Enfield Classic 350 Dual Channel ABS BS IV,2019.0,130000.0,Yes,"Kalkaji, South East Delhi", Delhi
610,TVS,TVS iQube Electric,2024.0,85000.0,Yes,"Tarbha, Subarnapur", Orissa
611,Suzuki,Suzuki Gixxer 150,2017.0,55000.0,Yes,Ahmedabad, Gujarat
612,Hero,Hero Electric Photon,2022.0,80000.0,Yes,"Pharenda, Maharajganj", Uttar Pradesh
613,Hero Cycles,Bicycle Decathlon,2023.0,4000.0,No,"Whitefield, Bangalore", Karnataka
614,Yamaha,Yamaha FZ FI V3 BS6,2019.0,60000.0,Yes,Indore, Madhya Pradesh
616,Royal Enfield,Royal Enfield Thunderbird X 350,2019.0,130000.0,Yes,Mysore, Karnataka
617,Bajaj,Bajaj Pulsar RS 200 ABS,2016.0,55000.0,Yes,Ahmedabad, Gujarat
618,Benling India,Benling Aura Li,2022.0,15000.0,Yes,Cuttack, Orissa
619,Bajaj,Bajaj Chetak Premium,2022.0,65000.0,Yes,"Sarjapur Road, Bangalore", Karnataka
620,TVS,TVS Apache RTR 200 4V 2020,2019.0,70000.0,Yes,"Panvel, Raigad", Maharashtra
621,Royal Enfield,Royal Enfield Bullet Standard 350,2021.0,180000.0,Yes,Haridwar, Utarakhand
622,Bajaj,Bajaj Avenger Cruise 220,2011.0,35000.0,Yes,Lucknow, Uttar Pradesh
623,TVS,TVS Apache RTR 200 4V,2018.0,50000.0,Yes,"Vasai-Virar, Palghar", Maharashtra
624,Hero,Hero Xtreme 125R,2024.0,85000.0,Yes,"Kalanaur, Rohtak", Haryana
625,Honda,Honda CB Shine SP,2017.0,29999.0,Yes,"Khagaria, Munger", Bihar
626,Suzuki,Suzuki Gixxer 150,2015.0,25000.0,Yes,"Velachery, Chennai", Tamil Nadu
627,Yamaha,Yamaha MT-15 Ver 2.0,2024.0,170000.0,Yes,Warangal, Telangana
628,Yamaha,Yamaha Crux,2015.0,15000.0,Yes,Chennai, Tamil Nadu
629,Yamaha,Yamaha YZF R15 S V3.0,2022.0,140000.0,Yes,North 24 Parganas, West Bengal
630,Royal Enfield,Royal Enfield Classic 350,2017.0,100000.0,Yes,"Rishikesh, Dehradun", Utarakhand
633,Yezdi,Yezdi Roadster Dark,2022.0,190000.0,Yes,Navi Mumbai, Maharashtra
634,KTM,KTM Duke 200,2016.0,90000.0,Yes,Ahmedabad, Gujarat
635,TVS,TVS Apache RTR 160 4V Special Edition,2023.0,120000.0,Yes,"Dwarka, South West Delhi", Delhi
636,Ola Electric,Ola S1 Pro Gen2,2023.0,105000.0,Yes,Thane, Maharashtra
637,Bajaj,Bajaj Pulsar NS200,2013.0,48000.0,Yes,"HSR Layout, Bangalore", Karnataka
638,Royal Enfield,Royal Enfield Bullet 350 ES,2021.0,125000.0,Yes,Hyderabad, Telangana
639,Bajaj,Bajaj Dominar 400 ABS BS6,2021.0,160000.0,Yes,"Bandra West, Mumbai", Maharashtra
640,Bajaj,Bajaj Pulsar N160 Dual Channel ABS,2025.0,140000.0,Yes,"Andheri East, Mumbai", Maharashtra
641,Jawa,Jawa 42 Bobber Dual Channel ABS,2023.0,185000.0,Yes,"Mettupalayam, Coimbatore", Tamil Nadu
643,Hero,Hero HF Deluxe BS6,2023.0,63000.0,Yes,Pune, Maharashtra
644,Honda,Honda Activa 3G,2015.0,20000.0,Yes,Noida, Uttar Pradesh
645,Honda,Honda SP125,2022.0,65000.0,Yes,"Rourkela, Sundergarh", Orissa
646,Hero,Hero Destini Prime,2024.0,72000.0,Yes,"Electronic City, Bangalore", Karnataka
647,Royal Enfield,Royal Enfield Classic 350 Redditch Red,2022.0,180000.0,Yes,North East Delhi, Delhi
648,Bajaj,Bajaj Dominar 400,2018.0,65000.0,Yes,"Tambaram, Chengalpattu", Tamil Nadu
649,TVS,TVS NTORQ 125 Race Edition,2025.0,80000.0,Yes,Bangalore, Karnataka
650,Royal Enfield,Royal Enfield Bullet Standard 350,2019.0,100000.0,Yes,Patna, Bihar
651,Bajaj,Bajaj Discover 100,2011.0,26999.0,Yes,Bangalore, Karnataka
652,Royal Enfield,Royal Enfield Thunderbird X 350,2018.0,125000.0,Yes,"Jayanagar, Bangalore", Karnataka
653,Yezdi,Yezdi Roadster Dark,2022.0,180000.0,Yes,Chennai, Tamil Nadu
655,Hero,Hero Super Splendor BS6,2021.0,45000.0,Yes,Dehradun, Utarakhand
657,Triumph,Triumph Scrambler 400 X,2025.0,290000.0,Yes,Palakkad, Kerala
658,Ola Electric,Ola S1 Pro Gen2,2023.0,120000.0,Yes,Neemuch, Madhya Pradesh
659,Bajaj,Bajaj Dominar 250 2025,2025.0,180000.0,Yes,Pune, Maharashtra
660,Ola Electric,Ola S1X Plus,2024.0,80000.0,Yes,Bangalore, Karnataka
661,TVS,TVS Sport BS6,2021.0,38000.0,Yes,Ghazipur, Uttar Pradesh
662,Hyosung,Hyosung GT250RC,2016.0,99000.0,Yes,Hyderabad, Telangana
663,Pure EV,Pure EV Etrance Neo,2022.0,42000.0,Yes,"Durgapur, Paschim Bardhaman", West Bengal
664,Bajaj,Bajaj Freedom 125 NG04 Disc LED,2024.0,110000.0,Yes,"KR Puram, Bangalore", Karnataka
665,Ola Electric,Ola S1X 4 kWh,2022.0,85000.0,Yes,Patna, Bihar
666,Suzuki,Suzuki Access 125,2016.0,51500.0,Yes,"Electronic City, Bangalore", Karnataka
667,Honda,Honda CBF Stunner,2013.0,15000.0,Yes,"Rajouri Garden, West Delhi", Delhi
668,Ola Electric,Ola S1 Pro,2021.0,55000.0,Yes,Mumbai, Maharashtra
669,Suzuki,Suzuki Access 125,2014.0,18000.0,Yes,Pune, Maharashtra
670,Royal Enfield,Royal Enfield Classic 350,2015.0,99000.0,Yes,Hoshangabad, Madhya Pradesh
671,KTM,KTM Duke 200,2016.0,100000.0,Yes,Guntur, Andhra Pradesh
672,Bajaj,Bajaj Pulsar NS 160 BS6,2023.0,125000.0,Yes,Hyderabad, Telangana
673,Jawa,Jawa  Jawa 42 Dual Channel ABS,2023.0,125000.0,Yes,"Kharar, Mohali", Punjab
674,Royal Enfield,Royal Enfield Himalayan 450,2024.0,290000.0,Yes,Guwahati, Assam
675,Yamaha,Yamaha FZ-S FI V2,2018.0,60000.0,Yes,Pathankot, Punjab
676,Bajaj,Bajaj Pulsar 150,2015.0,32000.0,Yes,Dhanbad, Jharkhand
677,Yamaha,Yamaha YZF R15,2022.0,145000.0,Yes,"Marathahalli, Bangalore", Karnataka
678,Royal Enfield,Royal Enfield Classic 350,2018.0,130000.0,Yes,Moradabad, Uttar Pradesh
679,Yamaha,Yamaha FZ-S,2012.0,24500.0,Yes,New Delhi, Delhi
680,Bajaj,Bajaj Pulsar 150 DTSi,2010.0,45000.0,Yes,"Dwarka, South West Delhi", Delhi
681,Jawa,Jawa Jawa,2020.0,120000.0,Yes,Trivandrum, Kerala
682,Hero,Hero Passion Pro i3s,2024.0,67000.0,Yes,Vadodara, Gujarat
683,Hero,Hero Splendor Plus,2017.0,30000.0,Yes,Ahmedabad, Gujarat
684,Honda,Honda Unicorn,2011.0,30000.0,Yes,Chennai, Tamil Nadu
685,Honda,Honda CBR 250R,2013.0,50000.0,Yes,"Goregaon, Mumbai", Maharashtra
686,Honda,Honda CB Unicorn 160,2015.0,40000.0,Yes,"Yelahanka, Bangalore", Karnataka
687,Husqvarna,Husqvarna Svartpilen 250,2020.0,80000.0,Yes,Hyderabad, Telangana
688,Honda,Honda Livo Drum,2016.0,30000.0,Yes,"Sarita Vihar, South East Delhi", Delhi
689,Royal Enfield,Royal Enfield Thunderbird X 350,2019.0,95000.0,Yes,Chennai, Tamil Nadu
690,Honda,Honda Activa Electric,2025.0,90000.0,Yes,Bangalore, Karnataka
691,Royal Enfield,Royal Enfield Meteor 350,2022.0,195000.0,Yes,Noida, Uttar Pradesh
692,Honda,Honda CB200X 2023,2023.0,120000.0,Yes,Mumbai, Maharashtra
693,Suzuki,Suzuki Intruder 150,2019.0,50000.0,Yes,"Kherki Daula, Gurgaon", Haryana
694,Ola Electric,Ola S1 Pro,2024.0,99000.0,Yes,Bhubaneshwar, Orissa
695,Honda,Honda Unicorn,2014.0,50000.0,Yes,"Avadi, Tiruvallur", Tamil Nadu
696,Bajaj,Bajaj Dominar 400,2018.0,110000.0,Yes,Kolkata, West Bengal
697,Honda,Honda Aviator,2012.0,28000.0,Yes,Pune, Maharashtra
698,Yamaha,Yamaha R15 V4,2023.0,150000.0,Yes,"Banashankari, Bangalore", Karnataka
699,Honda,Honda Activa 125,2019.0,45000.0,Yes,"Najafgarh, South West Delhi", Delhi
700,Vespa,Vespa VXL 125 BS6,2024.0,110000.0,Yes,"Sivakasi, Virudhunagar", Tamil Nadu
701,Honda,Honda Activa 6G Dlx,2020.0,60000.0,Yes,"Ichalkaranji, Kolhapur", Maharashtra
702,TVS,TVS Jupiter,2021.0,55000.0,Yes,Ghaziabad, Uttar Pradesh
703,Kawasaki,Kawasaki Ninja 300R,2016.0,150000.0,Yes,"Golconda, Hyderabad", Telangana
704,Royal Enfield,Royal Enfield 2023 Continental GT 650,2023.0,325000.0,Yes,Solapur, Maharashtra
705,Ola Electric,Ola S1 Air 3kWh,2024.0,99000.0,Yes,Vadodara, Gujarat
706,Yamaha,Yamaha Fascino S,2022.0,69000.0,Yes,Tiruchirappalli, Tamil Nadu
707,Jawa,Jawa forty two,2019.0,115000.0,Yes,"Kompally, Medchal-Malkajgiri", Telangana
708,Bajaj,Bajaj Pulsar NS 160 BS6,2021.0,75000.0,Yes,Mangalore, Karnataka
709,TVS,TVS iQube S,2022.0,85000.0,Yes,Bangalore, Karnataka
710,Hero,Hero Xtreme,2016.0,45000.0,Yes,Gondia, Maharashtra
