,Brand,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
1052,Yezdi,Yezdi Adventure Gloss,2022.0,126000.0,Yes,Anand, Gujarat
1053,Harley,Harley Davidson Iron 883,2016.0,567000.0,Yes,Bangalore, Karnataka
1054,BMW,BMW G 310 R,2023.0,225000.0,Yes,Patna, Bihar
1055,Bajaj,Bajaj Pulsar 150,2016.0,35000.0,Yes,"Narot Jaimal Singh, Pathankot", Punjab
1056,Royal Enfield,Royal Enfield Hunter 350 Metro,2022.0,150000.0,Yes,Meerut, Uttar Pradesh
1057,Royal Enfield,Royal Enfield Bullet Electra 5S,2008.0,65000.0,Yes,Kozhikode, Kerala
1058,Hero,Hero Splendor Plus IBS i3s,2017.0,45000.0,Yes,Hyderabad, Telangana
1059,Bajaj,Bajaj Avenger Street 160,2021.0,90000.0,Yes,Gurgaon, Haryana
1061,TVS,TVS Jupiter,2021.0,45000.0,Yes,"Manesar, Gurgaon", Haryana
1062,Revolt Motors,Revolt RV1 Plus,2024.0,95000.0,Yes,"Taoru, Nuh", Haryana
1063,KTM,KTM 390 Adventure 2023,2023.0,270000.0,Yes,"Whitefield, Bangalore", Karnataka
1064,Royal Enfield,Royal Enfield Himalayan,2016.0,85000.0,Yes,Bangalore, Karnataka
1065,Royal Enfield,Royal Enfield Hunter 350 Metro,2023.0,140000.0,Yes,"Baraut, Bagpat", Uttar Pradesh
1066,TVS,TVS Apache RTR 160 4V,2018.0,50000.0,Yes,"Narsingi, Rangareddy", Telangana
1067,TVS,TVS iQube Electric,2023.0,95000.0,Yes,North West Delhi, Delhi
1068,Hero,Hero Pleasure,2018.0,24000.0,Yes,Ahmedabad, Gujarat
1069,Vida (by Hero),Vida V1 Pro,2023.0,105000.0,Yes,Indore, Madhya Pradesh
1070,Ola Electric,Ola S1 Pro,2023.0,125000.0,Yes,Bangalore, Karnataka
1071,Ola Electric,Ola S1 Air 3kWh,2024.0,95000.0,Yes,Hassan, Karnataka
1073,Royal Enfield,Royal Enfield Continental GT 650 Twin,2025.0,380000.0,Yes,Satara, Maharashtra
1074,Bajaj,Bajaj Pulsar 125,2023.0,65000.0,Yes,"Danapur, Patna", Bihar
1075,Royal Enfield,Royal Enfield Classic 350,2017.0,145000.0,Yes,Bathinda, Punjab
1076,Ola Electric,Ola S1 Pro Gen2,2024.0,80000.0,Yes,"Barakar, Paschim Bardhaman", West Bengal
1077,TVS,TVS Ronin TD,2023.0,170000.0,Yes,Hosur, Tamil Nadu
1078,Royal Enfield,Royal Enfield Classic 350,2018.0,170000.0,Yes,"KR Puram, Bangalore", Karnataka
1079,Hero,Hero Xtreme 125R,2025.0,90000.0,Yes,New Delhi, Delhi
1080,Suzuki,Suzuki Gixxer SF BS6,2024.0,145000.0,Yes,Auraiya, Uttar Pradesh
1081,Suzuki,Suzuki V-Strom SX,2022.0,130000.0,Yes,Ahmedabad, Gujarat
1082,Hero,Hero Xtreme 125R,2024.0,88000.0,Yes,Faridabad, Haryana
1083,Suzuki,Suzuki Gixxer SF,2017.0,35000.0,Yes,Pune, Maharashtra
1084,KTM,KTM Duke 390,2014.0,150000.0,Yes,Lucknow, Uttar Pradesh
1085,BMW,BMW G 310 GS,2023.0,320000.0,Yes,Hyderabad, Telangana
1086,KTM,KTM Duke 200,2016.0,65000.0,Yes,"Kalyan, Thane", Maharashtra
1087,Honda,Honda Activa 5G,2018.0,45000.0,Yes,"Kottucherry, Karaikal", Pondicherry
1088,Suzuki,Suzuki Gixxer SF BS6,2024.0,100000.0,Yes,Kadapa, Andhra Pradesh
1089,Hero,Hero Pleasure Plus BS6,2022.0,60000.0,Yes,"Hadapsar, Pune", Maharashtra
1091,Royal Enfield,Royal Enfield Hunter 350 2025,2023.0,170000.0,Yes,"Shaikpet, Hyderabad", Telangana
1092,Harley,Harley Davidson X440 S,2025.0,325000.0,Yes,Chennai, Tamil Nadu
1093,Yamaha,Yamaha R15 V4,2021.0,120000.0,Yes,"Andheri, Mumbai", Maharashtra
1095,Honda,Honda CB350 DLX Pro,2023.0,180000.0,Yes,"Kalyan, Thane", Maharashtra
1096,Honda,Honda XBlade BS6,2020.0,70000.0,Yes,Chennai, Tamil Nadu
1097,Honda,Honda CB Unicorn 160,2016.0,35000.0,Yes,"Amberpet, Hyderabad", Telangana
1098,Suzuki,Suzuki Access 125 CBS,2019.0,50000.0,Yes,Navi Mumbai, Maharashtra
1099,Royal Enfield,Royal Enfield Thunderbird 350,2013.0,65000.0,Yes,"Bellandur, Bangalore", Karnataka
1100,BMW,BMW G 310 RR,2023.0,270000.0,Yes,New Delhi, Delhi
1101,TVS,TVS NTORQ 125,2022.0,72000.0,Yes,"Kalna, Bardhaman", West Bengal
1102,Ola Electric,Ola S1,2023.0,115000.0,Yes,"Marathahalli, Bangalore", Karnataka
1103,Yamaha,Yamaha FZ-S,2021.0,70000.0,Yes,Khammam, Telangana
1104,Honda,Honda CBR 250R ABS,2015.0,46000.0,Yes,Ahmedabad, Gujarat
1106,Suzuki,Suzuki Avenis 125 Standard Edition,2024.0,75000.0,Yes,Faridabad, Haryana
1108,Honda,Honda CB Unicorn 160,2018.0,75000.0,Yes,"Hebbal, Bangalore", Karnataka
1109,TVS,TVS Apache RTR 200 4V ABS,2020.0,100000.0,Yes,"Anna Nagar, Chennai", Tamil Nadu
1110,Honda,Honda Grazia,2018.0,50000.0,Yes,"Bally, Howrah", West Bengal
1111,Hero,Hero Xtreme,2013.0,35000.0,Yes,Rewa, Madhya Pradesh
1112,Royal Enfield,Royal Enfield Thunderbird 350,2016.0,95000.0,Yes,Hyderabad, Telangana
1113,Bajaj,Bajaj Pulsar 220F,2014.0,35000.0,Yes,"Hadapsar, Pune", Maharashtra
1114,Royal Enfield,Royal Enfield Meteor 350 Supernova,2021.0,210000.0,Yes,Pune, Maharashtra
1115,Jawa,Jawa 42 Dual Tone,2021.0,130000.0,Yes,Hyderabad, Telangana
1116,Hero,Hero Passion Pro,2013.0,32000.0,Yes,Pune, Maharashtra
1117,Yamaha,Yamaha FZ-X,2023.0,100000.0,Yes,Hyderabad, Telangana
1118,Ola Electric,Ola S1 Pro Gen2,2025.0,135000.0,Yes,"Deoband, Saharanpur", Uttar Pradesh
1119,Royal Enfield,Royal Enfield Hunter 350 Metro,2023.0,185000.0,Yes,"Sarjapur Road, Bangalore", Karnataka
1120,Yamaha,Yamaha FZ-S FI V3 BS6,2020.0,75000.0,Yes,"Mulund West, Mumbai", Maharashtra
1121,Yamaha,Yamaha YZF R15 V2,2017.0,55000.0,Yes,"Dhanpuri, Shahdol", Madhya Pradesh
1122,Bajaj,Bajaj Pulsar AS 150,2015.0,33000.0,Yes,Bhubaneshwar, Orissa
1123,KTM,KTM Duke 125 2022,2022.0,160000.0,Yes,"Ameenpur, Sangareddy", Telangana
1124,Hero,Hero CBZ Xtreme,2010.0,26000.0,Yes,"Kalyan, Thane", Maharashtra
1125,Honda,Honda Shine 125,2019.0,40000.0,Yes,Ghaziabad, Uttar Pradesh
1126,Ola Electric,Ola S1 Pro Gen2,2024.0,135000.0,Yes,Hyderabad, Telangana
1127,Yamaha,Yamaha YZF R15 V3 BS6,2022.0,125000.0,Yes,"Shikohabad, Firozabad", Uttar Pradesh
1129,TVS,TVS Apache RTR 160 4V 2025,2025.0,145000.0,Yes,Mumbai, Maharashtra
1130,Yamaha,Yamaha YZF R15,2022.0,120000.0,Yes,Chennai, Tamil Nadu
1131,Yamaha,Yamaha FZS 25,2019.0,75000.0,Yes,"BTM Layout, Bangalore", Karnataka
1132,Ola Electric,Ola S1 Pro Gen2,2024.0,120000.0,Yes,Kolkata, West Bengal
1133,Bajaj,Bajaj Pulsar 200 NS,2013.0,34500.0,Yes,Gurgaon, Haryana
1134,Triumph,Triumph Speed 400 2025,2025.0,240000.0,Yes,"Pimpri-Chinchwad, Pune", Maharashtra
1135,Triumph,Triumph Scrambler 400 X,2025.0,325000.0,Yes,Hyderabad, Telangana
1136,Royal Enfield,Royal Enfield Bullet Standard 500,2016.0,75000.0,Yes,"Dwarka, South West Delhi", Delhi
1137,TVS,TVS Raider Split Seat,2022.0,75000.0,Yes,Gurgaon, Haryana
1138,Oben Electric,Oben EV Rorr EZ 2025,2025.0,125000.0,Yes,"Rohini, North West Delhi", Delhi
1139,Honda,Honda Activa 125 BS6,2024.0,70000.0,Yes,Noida, Uttar Pradesh
1141,KTM,KTM Duke 200 ABS,2023.0,165000.0,Yes,Bangalore, Karnataka
1142,Bajaj,Bajaj Pulsar F250,2022.0,100000.0,Yes,Gorakhpur, Uttar Pradesh
1143,Ather Energy,Ather 450X Gen 3,2023.0,140000.0,Yes,"Ghatkopar, Mumbai", Maharashtra
1145,Jawa,Jawa 42 Dual Channel ABS AllStar Black,2022.0,100000.0,Yes,Visakhapatnam, Andhra Pradesh
1146,Hero,Hero Electric Photon LP,2021.0,30000.0,Yes,"Keeranur, Pudukkottai", Tamil Nadu
1147,Yamaha,Yamaha R15 V4,2022.0,180000.0,Yes,"HSR Layout, Bangalore", Karnataka
1148,Honda,Honda Activa,2018.0,63000.0,Yes,"Dera Bassi, Mohali", Punjab
1149,Ola Electric,Ola S1X Plus,2024.0,60000.0,Yes,"Badlapur, Thane", Maharashtra
1150,Bajaj,Bajaj CT 100,2016.0,30000.0,Yes,"Sanganer, Jaipur", Rajasthan
1151,Ola Electric,Ola S1 Pro,2023.0,140000.0,Yes,"Vasai-Virar, Palghar", Maharashtra
1152,TVS,TVS Apache RTR 160,2008.0,19000.0,Yes,"Pimpri-Chinchwad, Pune", Maharashtra
1153,Jawa,Jawa forty two BS6,2021.0,120000.0,Yes,"Karawal Nagar, North East Delhi", Delhi
1154,TVS,TVS Jupiter BS6,2022.0,58000.0,Yes,"Greater Noida, Gautam Buddha Nagar", Uttar Pradesh
1155,TVS,TVS Sport,2022.0,45000.0,Yes,"Chhainsa, Faridabad", Haryana
1156,Jawa,Jawa 350,2024.0,205000.0,Yes,Bangalore, Karnataka
1157,Yamaha,Yamaha Rajdoot,1972.0,60000.0,Yes,"Sholinganallur, Chennai", Tamil Nadu
1158,Kabira Mobility,Kabira Mobility KM 4000,2023.0,90000.0,Yes,"Chembur, Mumbai", Maharashtra
1159,Bajaj,Bajaj Avenger Street 150,2017.0,30000.0,Yes,"Andheri East, Mumbai", Maharashtra
1160,Aprilia,Aprilia SR 160 Carbon ABS,2020.0,75000.0,Yes,Katni, Madhya Pradesh
1162,Hero,Hero Duet 110,2017.0,32000.0,Yes,Pune, Maharashtra
1163,Hero,Hero CBZ Xtreme,2014.0,40000.0,Yes,Bangalore, Karnataka
1164,Bajaj,Bajaj Pulsar RS 200 ABS,2016.0,65000.0,Yes,Gurgaon, Haryana
1165,Hero,Hero Splendor Plus,2023.0,58000.0,Yes,Surat, Gujarat
1166,Benelli,Benelli Imperiale 400,2021.0,140000.0,Yes,"Electronic City, Bangalore", Karnataka
1167,Bajaj,Bajaj Platina 100,2014.0,15000.0,Yes,"Kanjhawala, North West Delhi", Delhi
1168,Bajaj,Bajaj Pulsar 220 DTSi,2018.0,50000.0,Yes,Aurangabad, Maharashtra
1169,Bajaj,Bajaj Avenger Street 220,2017.0,50000.0,Yes,"Kurla West, Mumbai", Maharashtra
1170,Hero,Hero Passion XTec,2023.0,65000.0,Yes,"Tirumalagiri, Hyderabad", Telangana
1171,Honda,Honda CB Trigger,2014.0,23000.0,Yes,Hyderabad, Telangana
1172,Bajaj,Bajaj Dominar 250,2020.0,120000.0,Yes,"Sanwer, Indore", Madhya Pradesh
1173,Royal Enfield,Royal Enfield Classic 350,2012.0,115000.0,Yes,Vijayawada, Andhra Pradesh
1174,Royal Enfield,Royal Enfield Himalayan 452,2021.0,175000.0,Yes,"Jogeshwari, Mumbai", Maharashtra
1175,Husqvarna,Husqvarna Svartpilen 250,2020.0,150000.0,Yes,Bangalore, Karnataka
1176,Yamaha,Yamaha SZ-R,2013.0,15000.0,Yes,"Velachery, Chennai", Tamil Nadu
1177,Yamaha,Yamaha FZ-S FI V3,2019.0,65000.0,Yes,Chennai, Tamil Nadu
1178,Yamaha,Yamaha FZ-S,2013.0,35000.0,Yes,"Anna Nagar, Chennai", Tamil Nadu
1179,Hero,Hero Xtreme 125R,2024.0,80000.0,Yes,Vijayawada, Andhra Pradesh
1180,Bajaj,Bajaj Platina 100 ES,2016.0,25000.0,Yes,Sirsa, Haryana
1181,TVS,TVS Raider SX,2024.0,100000.0,Yes,Surat, Gujarat
1182,TVS,TVS NTORQ 125,2021.0,45000.0,Yes,West Delhi, Delhi
1183,Honda,Honda Shine 125 Drum,2022.0,70000.0,Yes,Thane, Maharashtra
1184,TVS,TVS Apache RTR 160,2016.0,21000.0,Yes,"Goregaon, Mumbai", Maharashtra
1185,Honda,Honda Activa,2012.0,30000.0,Yes,Belgaum, Karnataka
1186,TVS,TVS Ronin TD Special Edition,2025.0,170000.0,Yes,Bangalore, Karnataka
1187,Honda,Honda Activa 125,2021.0,75000.0,Yes,"Nakodar, Jalandhar", Punjab
1189,Ola Electric,Ola S1 Pro,2024.0,90000.0,Yes,"Hadapsar, Pune", Maharashtra
1190,Honda,Honda Activa 5G,2018.0,40000.0,Yes,Bharuch, Gujarat
1191,Royal Enfield,Royal Enfield Classic Signals Airborne Blue,2023.0,175000.0,Yes,Mysore, Karnataka
1192,Royal Enfield,Royal Enfield Classic 500,2014.0,110000.0,Yes,"Amberpet, Hyderabad", Telangana
1193,Bajaj,Bajaj Avenger Cruise 220,2015.0,25000.0,Yes,"Kandivali, Mumbai", Maharashtra
1194,TVS,TVS Apache RTR 180 BS6,2021.0,80000.0,Yes,Bahraich, Uttar Pradesh
1195,Yamaha,Yamaha R15 V4,2022.0,125000.0,Yes,"Golconda, Hyderabad", Telangana
1196,Komaki Electric,KOMAKI XGT X5,2025.0,106000.0,Yes,Nizamabad, Telangana
1197,Jawa,Jawa Perak,2020.0,120000.0,Yes,Bhopal, Madhya Pradesh
1198,TVS,TVS Jupiter Classic BS6,2023.0,70000.0,Yes,"Nagod, Satna", Madhya Pradesh
1199,Triumph,Triumph Speed 400 2025,2025.0,240000.0,Yes,"Zirakpur, Mohali", Punjab
1200,Hero,Hero Glamour Xtec,2021.0,65000.0,Yes,Bokaro, Jharkhand
1201,Yamaha,Yamaha FZ-X,2024.0,145000.0,Yes,Ranchi, Jharkhand
1202,Okinawa,Okinawa Praise Pro,2022.0,35000.0,Yes,Gaya, Bihar
1203,Honda,Honda CB Unicorn,2016.0,50000.0,Yes,Surat, Gujarat
1204,Royal Enfield,Royal Enfield Hunter 350 Metro,2024.0,185000.0,Yes,Hyderabad, Telangana
1205,Honda,Honda Activa 4G,2017.0,35000.0,Yes,Kolkata, West Bengal
1206,Bajaj,Bajaj Pulsar N160 Dual Channel ABS,2023.0,130000.0,Yes,"Marathahalli, Bangalore", Karnataka
1207,Yamaha,Yamaha FZS 25 BS6,2021.0,120000.0,Yes,Navi Mumbai, Maharashtra
1208,Honda,Honda Activa 125,2023.0,80000.0,Yes,Chennai, Tamil Nadu
1209,Hero,Hero Maestro Edge 110 BS6,2017.0,38000.0,Yes,Pune, Maharashtra
1210,TVS,TVS Jupiter ZX,2022.0,70000.0,Yes,New Delhi, Delhi
1211,Yamaha,Yamaha Fazer FI V2,2016.0,40000.0,Yes,"Bandra East, Mumbai", Maharashtra
1212,TVS,TVS NTORQ 125 XT,2023.0,110000.0,Yes,Bangalore, Karnataka
1213,Bajaj,Bajaj Pulsar NS 125,2023.0,80000.0,Yes,"Hebbal, Bangalore", Karnataka
1214,Jawa,Jawa forty two BS6,2020.0,129000.0,Yes,Rewari, Haryana
1215,TVS,TVS Sport,2014.0,18000.0,Yes,"Siswa Bazar, Maharajganj", Uttar Pradesh
1216,Bajaj,Bajaj Avenger Street 160 BS6,2022.0,75000.0,Yes,Solapur, Maharashtra
1217,Bajaj,Bajaj Pulsar RS 200 ABS,2017.0,95000.0,Yes,"Sarjapur Road, Bangalore", Karnataka
1218,Revolt Motors,Revolt RV 400,2022.0,90000.0,Yes,"Perambur, Chennai", Tamil Nadu
1219,TVS,TVS Apache RTR 200 4V ABS,2020.0,80000.0,Yes,"Sholinganallur, Chennai", Tamil Nadu
1220,Benelli,Benelli Imperiale 400 BS6,2022.0,200000.0,Yes,Mumbai, Maharashtra
1221,Jawa,Jawa 42 Dual Channel ABS Cosmic Carbon,2023.0,200000.0,Yes,Pune, Maharashtra
1222,Hero,Hero Maestro,2015.0,28500.0,Yes,Ambala, Haryana
1223,KTM,KTM Duke 200,2016.0,100000.0,Yes,"Vikhroli, Mumbai", Maharashtra
1224,Hero,Hero Destini 125 VX,2021.0,50000.0,Yes,Giridih, Jharkhand
1225,Hero,Hero Pleasure,2011.0,25000.0,Yes,Lucknow, Uttar Pradesh
1226,Hero,Hero Glamour 125 Drum,2017.0,35000.0,Yes,"Dwarka, South West Delhi", Delhi
1227,Royal Enfield,Royal Enfield Classic 350 Single Channel BS6,2020.0,140000.0,Yes,South Delhi, Delhi
1228,KTM,KTM Duke 200 2022,2022.0,170000.0,Yes,"Aruppukkottai, Virudhunagar", Tamil Nadu
1229,Yamaha,Yamaha FZ-X,2023.0,90000.0,Yes,"Ambattur, Chennai", Tamil Nadu
1230,TVS,TVS Raider 125,2023.0,80000.0,Yes,Aurangabad, Maharashtra
1231,Ola Electric,Ola S1 Pro Gen 3 4kWh,2025.0,130000.0,Yes,"Rahata, Ahilyanagar", Maharashtra
1232,Bajaj,Bajaj V15,2017.0,35000.0,Yes,Gandhinagar, Gujarat
1233,Ola Electric,Ola S1,2022.0,95000.0,Yes,Pimpri-Chinchwad, Maharashtra
1234,Hero,Hero Splendor Plus Xtec,2022.0,65000.0,Yes,"Mayur Vihar, East Delhi", Delhi
1236,Suzuki,Suzuki Gixxer 150,2015.0,38000.0,Yes,Navi Mumbai, Maharashtra
1237,TVS,TVS Apache RTR 160 2025,2025.0,130000.0,Yes,Madhepura, Bihar
1238,Bajaj,Bajaj Avenger Street 160 BS6,2023.0,80000.0,Yes,"Bandra, Mumbai", Maharashtra
1239,Honda,Honda CB Trigger,2014.0,30000.0,Yes,"Nakur, Saharanpur", Uttar Pradesh
1240,KTM,KTM 390 Adventure,2020.0,280000.0,Yes,Bangalore, Karnataka
1241,Vespa,Vespa SXL 125,2022.0,125000.0,Yes,Pune, Maharashtra
1242,TVS,TVS Apache RTR 160 4V BS6,2020.0,100000.0,Yes,"Kanchrapara, North 24 Parganas", West Bengal
1243,Honda,Honda CB350 DLX Pro,2024.0,205000.0,Yes,Ahmedabad, Gujarat
1244,TVS,TVS Raider 125,2022.0,62000.0,Yes,"Valapady, Salem", Tamil Nadu
1245,KTM,KTM Duke 390,2016.0,135000.0,Yes,"Yelahanka, Bangalore", Karnataka
1246,Ola Electric,Ola S1 X Gen 3 2kWh,2025.0,90000.0,Yes,Rewari, Haryana
1247,Suzuki,Suzuki Burgman Street Standard Edition 2025,2025.0,5000.0,Yes,Mumbai, Maharashtra
1248,Bajaj,Bajaj Pulsar N160,2024.0,120000.0,Yes,"Chiplun, Ratnagiri", Maharashtra
1249,Yamaha,Yamaha FZ-S FI V2,2019.0,65000.0,Yes,Bangalore, Karnataka
1250,Bajaj,Bajaj Discover DTSi 125,2018.0,30000.0,Yes,Madhubani, Bihar
1251,Royal Enfield,Royal Enfield Classic 500,2016.0,95000.0,Yes,Ranchi, Jharkhand
1252,TVS,TVS Scooty Pep Plus,2021.0,30000.0,Yes,Didwana-Kuchaman, Rajasthan
1253,Honda,Honda Shine 125,2022.0,65000.0,Yes,Saharanpur, Uttar Pradesh
1254,Honda,Honda Activa 6G,2021.0,51000.0,Yes,Ghaziabad, Uttar Pradesh
1255,Royal Enfield,Royal Enfield Meteor 350 Stellar,2023.0,210000.0,Yes,"Gandhi Nagar, East Delhi", Delhi
1256,TVS,TVS Apache RTR 160 4V,2018.0,61000.0,Yes,Salem, Tamil Nadu
1257,Honda,Honda SP 125 BSVI,2022.0,70000.0,Yes,Bokaro, Jharkhand
1258,Aprilia,Aprilia SXR 125,2022.0,80000.0,Yes,"Malad, Mumbai", Maharashtra
1259,Jawa,Jawa forty two,2020.0,125000.0,Yes,Hyderabad, Telangana
1260,Bajaj,Bajaj Platina 110 H-Gear BS6,2021.0,55000.0,Yes,Pimpri-Chinchwad, Maharashtra
1261,Royal Enfield,Royal Enfield Himalayan 452,2022.0,220000.0,Yes,Trivandrum, Kerala
1262,Suzuki,Suzuki Gixxer SF SP,2018.0,55000.0,Yes,"Andheri West, Mumbai", Maharashtra
1263,TVS,TVS Jupiter BS6,2021.0,75000.0,Yes,Kurnool, Andhra Pradesh
1264,Evtric Motors,Evtric Ride,2023.0,85000.0,Yes,Bangalore, Karnataka
1265,Royal Enfield,Royal Enfield Bullet Electra,2021.0,145000.0,Yes,Udupi, Karnataka
1266,Royal Enfield,Royal Enfield Thunderbird X 500,2016.0,99999.0,Yes,"Velachery, Chennai", Tamil Nadu
1267,Hero,Hero Glamour 125 Disc,2025.0,88000.0,Yes,North East Delhi, Delhi
1268,Yamaha,Yamaha FZ FI V2,2019.0,45000.0,Yes,Kishanganj, Bihar
1269,Royal Enfield,Royal Enfield Meteor 350 Stellar,2023.0,200000.0,Yes,Bankura, West Bengal
1271,Bajaj,Bajaj Pulsar 150 DTSi,2014.0,24000.0,Yes,"Tigaon, Faridabad", Haryana
1272,Royal Enfield,Royal Enfield Hunter 350 Retro,2024.0,160000.0,Yes,Bokaro, Jharkhand
1273,Honda,Honda CB Unicorn,2014.0,60000.0,Yes,"Vasai-Virar, Palghar", Maharashtra
1275,Yamaha,Yamaha MT-15 Ver 2.0,2023.0,145000.0,Yes,Kakinada, Andhra Pradesh
1276,TVS,TVS Sport,2019.0,30000.0,Yes,Udaipur, Rajasthan
1277,TVS,TVS Apache RTR 200 4V ABS Race Edition 2.0,2019.0,60000.0,Yes,"Parel, Mumbai", Maharashtra
1278,Bajaj,Bajaj Pulsar NS 160,2021.0,85000.0,Yes,"Ameerpet, Hyderabad", Telangana
1279,Yamaha,Yamaha Saluto 125,2016.0,30000.0,Yes,"Bannerghatta Road, Bangalore", Karnataka
1280,Royal Enfield,Royal Enfield Himalayan,2021.0,210000.0,Yes,Beed, Maharashtra
1281,BMW,BMW G 310 R,2020.0,200000.0,Yes,Bellary, Karnataka
1282,TVS,TVS Apache RTR 200 4V,2019.0,60000.0,Yes,"Ambattur, Chennai", Tamil Nadu
1283,Royal Enfield,Royal Enfield Classic Signals Airborne Blue,2019.0,169000.0,Yes,"KR Puram, Bangalore", Karnataka
1285,Yamaha,Yamaha RX 135,1997.0,40000.0,Yes,Lucknow, Uttar Pradesh
1287,Jawa,Jawa forty two BS6,2020.0,145000.0,Yes,Pune, Maharashtra
1288,Hero,Hero Glamour BS6,2020.0,52000.0,Yes,Araria, Bihar
1289,Bajaj,Bajaj V12,2020.0,35000.0,Yes,"Huzur, Bhopal", Madhya Pradesh
1290,Honda,Honda CB300F,2024.0,160000.0,Yes,Trivandrum, Kerala
1291,Benelli,Benelli Imperiale 400,2022.0,160000.0,Yes,Hyderabad, Telangana
1292,Benelli,Benelli TRK 502X,2021.0,500000.0,Yes,"Bahadurpura, Hyderabad", Telangana
1293,Bajaj,Bajaj Chetak Premium,2021.0,65000.0,Yes,"Pimpri-Chinchwad, Pune", Maharashtra
1294,Jawa,Jawa 42 Dual Channel ABS AllStar Black,2022.0,170000.0,Yes,Varanasi, Uttar Pradesh
1295,Honda,Honda Activa 6G H-smart,2024.0,90000.0,Yes,"Bagaha, West Champaran", Bihar
1296,Hero,Hero XPulse 200T BS6,2021.0,85000.0,Yes,North 24 Parganas, West Bengal
1297,Bajaj,Bajaj Pulsar 180 DTSi,2016.0,35000.0,Yes,Faridabad, Haryana
1298,Bajaj,Bajaj Pulsar 220 DTSi,2013.0,45000.0,Yes,Mysore, Karnataka
1299,Bajaj,Bajaj Pulsar 200 NS,2017.0,100000.0,Yes,Jaipur, Rajasthan
1300,Honda,Honda CB Hornet 160R ABS,2016.0,35000.0,Yes,"Guindy, Chennai", Tamil Nadu
1301,Royal Enfield,Royal Enfield Classic 350,2018.0,151000.0,Yes,"Ameerpet, Hyderabad", Telangana
1303,Honda,Honda CB350 DLX Pro,2020.0,150000.0,Yes,Korea, Chhattisgarh
1304,Bajaj,Bajaj Pulsar N160 Dual Channel ABS,2022.0,115000.0,Yes,Nadia, West Bengal
1305,Ola Electric,Ola S1X 4 kWh,2025.0,120000.0,Yes,Jodhpur, Rajasthan
1306,Honda,Honda Dio Standard,2014.0,30000.0,Yes,Surat, Gujarat
1307,Hero,Hero HF Deluxe BS6,2022.0,45000.0,Yes,"Balramgarh, Faridabad", Haryana
1308,Bajaj,Bajaj Pulsar 125,2022.0,70000.0,Yes,Chennai, Tamil Nadu
1310,Yamaha,Yamaha FZ,2014.0,30000.0,Yes,Mumbai, Maharashtra
1311,Yamaha,Yamaha RXZ,2002.0,120000.0,Yes,"Irinjalakuda, Thrissur", Kerala
1312,Bajaj,Bajaj V15,2016.0,28000.0,Yes,Gurgaon, Haryana
1313,Yamaha,Yamaha MT-15,2020.0,90000.0,Yes,Varanasi, Uttar Pradesh
1314,Suzuki,Suzuki Burgman Street,2025.0,115000.0,Yes,"Charminar, Hyderabad", Telangana
1315,Hero Cycles,Bicycle Keysto,2023.0,3000.0,No,Gautam Buddha Nagar, Uttar Pradesh
1316,Hero,Hero Splendor Plus Xtec,2023.0,70000.0,Yes,Hyderabad, Telangana
1317,Ather Energy,Ather 450X Gen 3,2025.0,187000.0,Yes,"Secunderabad, Hyderabad", Telangana
1318,BSA,BSA Gold Star 650,2024.0,390000.0,Yes,"Whitefield, Bangalore", Karnataka
1319,Yamaha,Yamaha R15M,2024.0,190000.0,Yes,Navi Mumbai, Maharashtra
1320,Honda,Honda CBR 250R,2011.0,45000.0,Yes,Bangalore, Karnataka
1321,Honda,Honda Activa,2011.0,20000.0,Yes,Lucknow, Uttar Pradesh
1322,Royal Enfield,Royal Enfield Meteor 350 Fireball,2023.0,178000.0,Yes,Cuttack, Orissa
1323,Bajaj,Bajaj Dominar 400 ABS BS6,2022.0,148000.0,Yes,"Rajajinagar, Bangalore", Karnataka
1324,Jawa,Jawa 42 Dual Channel ABS Cosmic Carbon,2023.0,155000.0,Yes,"Hoskote, Bangalore", Karnataka
1325,Yamaha,Yamaha Fascino,2016.0,30000.0,Yes,Kolhapur, Maharashtra
1326,Yamaha,Yamaha Fazer 25,2018.0,55000.0,Yes,Pimpri-Chinchwad, Maharashtra
1327,Bajaj,Bajaj Avenger Street 150,2017.0,35000.0,Yes,Ahmedabad, Gujarat
1328,Royal Enfield,Royal Enfield Hunter 350 Metro,2024.0,165000.0,Yes,New Delhi, Delhi
1329,Hero,Hero Maestro Edge,2018.0,30000.0,Yes,Hyderabad, Telangana
1330,Yamaha,Yamaha FZ-S FI V2,2017.0,60000.0,Yes,"Shaikpet, Hyderabad", Telangana
1331,Honda,Honda CB Shine,2010.0,30000.0,Yes,"Velachery, Chennai", Tamil Nadu
1332,Jawa,Jawa 42 Dual Channel ABS Cosmic Carbon,2023.0,120000.0,Yes,Gautam Buddha Nagar, Uttar Pradesh
1333,Hero,Hero Maestro Edge,2018.0,15000.0,Yes,"Mohanlalganj, Lucknow", Uttar Pradesh
1334,Bajaj,Bajaj Pulsar 135LS,2011.0,18000.0,Yes,Kolkata, West Bengal
1335,TVS,TVS Raider 125,2021.0,60000.0,Yes,Bhubaneshwar, Orissa
1336,Royal Enfield,Royal Enfield Classic 350,2014.0,145000.0,Yes,Indore, Madhya Pradesh
1337,Hero,Hero Electric Optima HX Dual Battery,2022.0,20000.0,Yes,Kolkata, West Bengal
