Bike Model,Model Year,Location,Price (Rs),Finance_Available(Yes/No)
Honda Unicorn,2011,"Chennai, Tamil Nadu",30000,Yes
Honda CBR 250R,2013,"Goregaon, Mumbai, Maharashtra",50000,Yes
Honda CB Unicorn 160,2015,"Yelahanka, Bangalore, Karnataka",40000,Yes
Husqvarna Svartpilen 250,2020,"Hyderabad, Telangana",80000,Yes
Honda Livo Drum,2016,"Sarita Vihar, South East Delhi, Delhi",30000,Yes
Royal Enfield Thunderbird X 350,2019,"Chennai, Tamil Nadu",95000,Yes
Honda Activa Electric,2025,"Bangalore, Karnataka",90000,Yes
Royal Enfield Meteor 350,2022,"Noida, Uttar Pradesh",195000,Yes
Honda CB200X 2023,2023,"Mumbai, Maharashtra",120000,Yes
Suzuki Intruder 150,2019,"Kherki Daula, Gurgaon, Haryana",50000,Yes
Ola S1 Pro,2024,"Bhubaneshwar, Orissa",99000,Yes
Honda Unicorn,2014,"Avadi, Tiruvallur, Tamil Nadu",50000,Yes
Bajaj Dominar 400,2018,"Kolkata, West Bengal",110000,Yes
Honda Aviator,2012,"Pune, Maharashtra",28000,Yes
Yamaha R15 V4,2023,"Banashankari, Bangalore, Karnataka",150000,Yes
Honda Activa 125,2019,"Najafgarh, South West Delhi, Delhi",45000,Yes
Vespa VXL 125 BS6,2024,"Sivakasi, Virudhunagar, Tamil Nadu",110000,Yes
Honda Activa 6G Dlx,2020,"Ichalkaranji, Kolhapur, Maharashtra",60000,Yes
TVS Jupiter,2021,"Ghaziabad, Uttar Pradesh",55000,Yes
Kawasaki Ninja 300R,2016,"Golconda, Hyderabad, Telangana",150000,Yes
Royal Enfield 2023 Continental GT 650,2023,"Solapur, Maharashtra",325000,Yes
Ola S1 Air 3kWh,2024,"Vadodara, Gujarat",99000,Yes
Yamaha Fascino S,2022,"Tiruchirappalli, Tamil Nadu",69000,Yes
Jawa forty two,2019,"Kompally, Medchal-Malkajgiri, Telangana",115000,Yes
Bajaj Pulsar NS 160 BS6,2021,"Mangalore, Karnataka",75000,Yes
TVS iQube S,2022,"Bangalore, Karnataka",85000,Yes
Hero Xtreme,2016,"Gondia, Maharashtra",45000,Yes
TVS,2019,"Tapa, Barnala, Punjab",45000,Yes
Bajaj Pulsar 135LS,2010,"Electronic City, Bangalore, Karnataka",21000,Yes
Honda CB Shine SP,2016,"Kalyanpur, Kanpur, Uttar Pradesh",35000,Yes
KTM RC 200 GP,2023,"Tirupati, Andhra Pradesh",210000,Yes
KTM 390 Adventure 2022,2022,"Mira-Bhayandar, Thane, Maharashtra",315000,Yes
Bajaj Pulsar 150 DTSi,2017,"Baran, Rajasthan",45000,Yes
Bajaj Avenger Street 150,2017,"Dehradun, Utarakhand",42000,Yes
Hero Maestro Edge 125 BS6,2020,"Phulpur, Allahabad, Uttar Pradesh",45000,Yes
Honda CB Unicorn 160,2015,"Bangalore, Karnataka",40000,Yes
Bajaj Pulsar 125,2021,"Pimpri-Chinchwad, Maharashtra",60000,Yes
Royal Enfield Bullet Electra,2021,"Azamgarh, Uttar Pradesh",157000,Yes
Ola S1 Pro Gen2,2023,"Thane, Maharashtra",100000,Yes
Hero Passion XTec,2023,"Misrikh, Sitapur, Uttar Pradesh",70000,Yes
TVS Apache RTR 160 4V,2021,"Agra, Uttar Pradesh",95000,Yes
Yamaha MT-15,2020,"Electronic City, Bangalore, Karnataka",100000,Yes
Yamaha FZ-X,2021,"Mumbai, Maharashtra",70000,Yes
Honda Activa 6G Std,2022,"Tumkur, Karnataka",78000,Yes
Honda CBF Stunner,2011,"Nadiad, Kheda, Gujarat",25000,Yes
Honda CB350RS,2022,"Hyderabad, Telangana",170000,Yes
Bicycle Hercules,2023,"Vasundhara, Ghaziabad, Uttar Pradesh",9500,No
Royal Enfield Meteor 350 Supernova,2024,"Vikhroli, Mumbai, Maharashtra",250000,Yes
Yamaha FZ FI V2,2014,"HSR Layout, Bangalore, Karnataka",32000,Yes
Bajaj Avenger Street 220 BS6,2017,"Surat, Gujarat",70000,Yes
Honda Shine 100,2025,"Vrindavan, Mathura, Uttar Pradesh",68500,Yes
Jawa Perak BS6,2022,"Ahmedabad, Gujarat",150000,Yes
KTM Duke 390,2022,"Yelahanka, Bangalore, Karnataka",250000,Yes
Harley Davidson Fat Bob,2022,"Rajouri Garden, West Delhi, Delhi",1500000,Yes
Yamaha Cygnus Ray ZR Street Rally,2018,"Indore, Madhya Pradesh",45000,Yes
Ola S1 Pro Gen2,2024,"Karawal Nagar, North East Delhi, Delhi",100000,Yes
Yamaha R15 V4,2023,"Chengalpattu, Tamil Nadu",175000,Yes
Hero Maestro Edge,2016,"Shaikpet, Hyderabad, Telangana",50000,Yes
Yamaha FZ-S,2017,"Bhubaneshwar, Orissa",45000,Yes
Hero Splendor iSmart 110,2014,Tamil Nadu,23000,Yes
Hero Pleasure,2013,"Ghaziabad, Uttar Pradesh",20500,Yes
Hero Maestro Edge,2018,"Gurgaon, Haryana",27000,Yes
,,"Chennai, Tamil Nadu",45000,Yes
Jawa Jawa,2021,"Angul, Orissa",130000,Yes
Yamaha FZ-S FI V3 BS6,2019,"Pune, Maharashtra",60000,Yes
Yamaha YZF R15 V3,2018,"Pune, Maharashtra",110000,Yes
Royal Enfield Classic Battle Green,2021,"Banashankari, Bangalore, Karnataka",220000,Yes
Jawa 42 Dual Channel ABS AllStar Black,2021,"Shibpur, Howrah, West Bengal",100001,Yes
Bajaj Pulsar 150 Twin Disc BS6,2021,"Hyderabad, Telangana",70000,Yes
Hero Xtreme 160R 4V Connected 2.0,2024,"Kolkata, West Bengal",120000,Yes
Royal Enfield Bullet Standard 350,2020,"South Delhi, Delhi",150000,Yes
TVS Raider Split Seat,2022,"Jaipur, Rajasthan",70000,Yes
Hero Xtreme,2011,"Gurgaon, Haryana",18700,Yes
Bajaj Pulsar 150,2011,"Seemapuri, Shahdara, Delhi",18000,Yes
KTM Duke 390,2016,"Sanganer, Jaipur, Rajasthan",89000,Yes
TVS Radeon,2019,,,Yes
Ola S1 Air 3kWh,2023,"Vasai-Virar, Palghar, Maharashtra",75000,Yes
Bajaj Dominar 250,2021,"Ameerpet, Hyderabad, Telangana",130000,Yes
Yamaha YZF R15 V3 BS6,2021,"Hyderabad, Telangana",110000,Yes
Ola S1 Pro Gen2,2023,"Dharwad, Karnataka",65000,Yes
Bajaj Pulsar 200 NS,2017,"Whitefield, Bangalore, Karnataka",75000,Yes
BMW G 310 RR,2022,"Velachery, Chennai, Tamil Nadu",225000,Yes
Yezdi Roadster Dark,2023,"Alandur, Chennai, Tamil Nadu",180000,Yes
KTM RC 200,2019,"Prithla, Palwal, Haryana",125000,Yes
Suzuki Gixxer 150,2017,"Bagnan, Howrah, West Bengal",65000,Yes
Royal Enfield Classic 350,2016,"Kolkata, West Bengal",110000,Yes
Bajaj Avenger Street 160,2021,"Dombivli, Thane, Maharashtra",68000,Yes
Honda Activa 6G Std,2023,,,Yes
Hero Maestro Edge,2016,"Preet Vihar, East Delhi, Delhi",18000,Yes
Yamaha FZ25,2017,"Kolkata, West Bengal",60000,Yes
Royal Enfield Himalayan 450,2024,"Uzhavarkarai, Pondicherry, Pondicherry",275000,Yes
Bajaj Pulsar 150 DTSi,2014,"Howrah, West Bengal",30000,Yes
,,"Kolkata, West Bengal",60000,Yes
Honda Hness CB 350,2021,"Greater Noida, Gautam Buddha Nagar, Uttar Pradesh",150000,Yes
TVS iQube Electric,2023,"New Delhi, Delhi",85000,Yes
Hero Pleasure,2017,"Gandhinagar, Gujarat",44999,Yes
Hero Glamour Xtec,2021,"Nellore, Andhra Pradesh",60000,Yes
Ampere Magnus Ex,2023,"Dahisar, Mumbai, Maharashtra",35000,Yes
Yamaha YZF R15 V3,2018,"Pimpri-Chinchwad, Maharashtra",120000,Yes
KTM RC 125 2020,2020,"Rewa, Madhya Pradesh",125000,Yes
Bajaj Pulsar 150 DTSi,2020,"Kandivali, Mumbai, Maharashtra",60000,Yes
Honda Activa,2008,"Pune, Maharashtra",20000,Yes
Vida V1 Plus,2024,"Ahmednagar, Maharashtra",100000,Yes
Jawa  2024,2024,"Vadodara, Gujarat",230000,Yes
Honda Aviator,2011,"T. Nagar, Chennai, Tamil Nadu",15000,Yes
TVS Apache RTR 180 ABS,2017,"T. Nagar, Chennai, Tamil Nadu",44000,Yes
Honda Livo 110,2017,"Rau, Indore, Madhya Pradesh",40000,Yes
Honda Shine 125 Disc,2015,"Bangalore, Karnataka",45000,Yes
Yamaha Fascino,2019,"Avadi, Tiruvallur, Tamil Nadu",50000,Yes
Royal Enfield Bullet 350,2015,"Tarabganj, Gonda, Uttar Pradesh",110000,Yes
BMW G 310 GS BS6,2020,"Hyderabad, Telangana",290000,Yes
Royal Enfield Thunderbird 350,2015,"Pune, Maharashtra",140000,Yes
Royal Enfield Hunter 350 Retro,2023,"Vijayawada, Andhra Pradesh",160000,Yes
Bajaj Pulsar 150 DTSi,2017,,,Yes
Royal Enfield Thunderbird X 350,2018,"Konni, Pathanamthitta, Kerala",130000,Yes
Honda Activa 3G,2015,"Pune, Maharashtra",35000,Yes
Royal Enfield Classic 350,2015,"Delhi Cantonment, New Delhi, Delhi",80000,Yes
Royal Enfield Bullet Electra 5S,2012,"Malad, Mumbai, Maharashtra",100000,Yes
Honda Livo Disc,2013,"Farrukhabad, Uttar Pradesh",40000,Yes
Bajaj Dominar 250,2020,"Kozhikode, Kerala",120000,Yes
,,"Solapur, Maharashtra",160000,Yes
Hero Xpulse 200 4V,2022,"Surat, Gujarat",135000,Yes
Bajaj Pulsar 150 DTSi,2015,"Navi Mumbai, Thane, Maharashtra",45000,Yes
Honda Activa 5G,2018,Gujarat,50000,Yes
Royal Enfield Bullet Standard 350,1997,"Chennai, Tamil Nadu",120000,Yes
KTM Duke 250 2025,2025,"New Delhi, Delhi",230000,Yes
Royal Enfield Himalayan Sleet,2019,"Greater Noida, Gautam Buddha Nagar, Uttar Pradesh",139000,Yes
Royal Enfield Guerrilla 450 Flash,2025,"Greater Noida, Uttar Pradesh",280000,Yes
Ola S1 Pro,2022,,,Yes
TVS Jupiter ZX SmartXonnect,2022,"Bangalore, Karnataka",75000,Yes
Ola S1 Pro Gen2,2024,"Surendranagar, Gujarat",90000,Yes
Bajaj Avenger 200 DTS-i,2010,"Hyderabad, Telangana",40000,Yes
Yamaha Fazer FI V2,2014,"Vikhroli, Mumbai, Maharashtra",28000,Yes
Honda Activa 5G,2019,"Zirakpur, Mohali, Punjab",49999,Yes
Hero Pleasure,2015,"Kolkata, West Bengal",23000,Yes
Royal Enfield Bullet Standard 350,2019,"Olpad, Surat, Gujarat",130000,Yes
TVS Jupiter 125,2022,"Nagpur, Maharashtra",70000,Yes
Triumph Speed 400,2023,"Ameerpet, Hyderabad, Telangana",240000,Yes
Bajaj Pulsar 150,2013,"Kabirdham, Chhattisgarh",25000,Yes
Jitendra JMT Classic City,2023,"Parel, Mumbai, Maharashtra",38000,Yes
Hero CBZ,2011,"Kandivali, Mumbai, Maharashtra",20000,Yes
TVS Jupiter 125,2017,"Dwarka, South West Delhi, Delhi",35000,Yes
Bajaj Pulsar P150,2023,"Erumely, Kottayam, Kerala",85000,Yes
Honda Activa 3G,2015,"Dehradun, Utarakhand",35000,Yes
Bajaj Avenger Cruise 220,2016,"Jodhpur, Rajasthan",65000,Yes
Mahindra Centuro O1,2014,"New Delhi, Delhi",30000,Yes
Hero HF Deluxe,2017,"Belgaum, Karnataka",60000,Yes
Revolt RV400 BRZ,2025,"Civil Lines, Central Delhi, Delhi",120000,Yes
Revolt RV 400,2022,"Chennai, Tamil Nadu",100000,Yes
Yamaha Fazer,2013,"Vadodara, Gujarat",47000,Yes
Honda Unicorn,2011,"Mumbai, Maharashtra",25000,Yes
,,,,Yes
Hero HF Deluxe i3s,2020,"Diamond Harbour, South 24 Parganas, West Bengal",40000,Yes
Hero Super Splendor XTEC,2023,"Ahmedabad, Gujarat",70000,Yes
KTM Duke 250,2022,"Meghnagar, Jhabua, Madhya Pradesh",185000,Yes
Triumph Speed 400,2023,"Anna Nagar, Chennai, Tamil Nadu",215000,Yes
Royal Enfield Thunderbird TwinSpark 350,2012,"Hosur, Tamil Nadu",55000,Yes
TVS Ronin TD,2022,"Indiranagar, Bangalore, Karnataka",160000,Yes
Honda CB350 Brigade,2024,"Thiruporur, Chengalpattu, Tamil Nadu",190000,Yes
TVS Apache RTR 160 4V,2022,"Maddur, Mandya, Karnataka",70000,Yes
Suzuki Access 125,2013,"Kalol, Gandhinagar, Gujarat",10000,Yes
TVS Ronin TD Special Edition,2025,"Durgapur, Paschim Bardhaman, West Bengal",170000,Yes
Royal Enfield Thunderbird X 350,2018,"North Delhi, Delhi",100000,Yes
Harley Davidson X440 S,2024,"Etawah, Uttar Pradesh",260000,Yes
Bajaj Avenger Street 160,2021,"Lucknow, Uttar Pradesh",70000,Yes
Royal Enfield Continental GT 650,2025,"Perambur, Chennai, Tamil Nadu",410000,Yes
Hero HF Deluxe,2020,"Chhutmalpur, Saharanpur, Uttar Pradesh",44000,Yes
Bajaj Avenger Street 160,2020,"Buxar, Bihar",42000,Yes
Honda Activa 6G Dlx,2023,"Pune, Maharashtra",75000,Yes
Honda Activa 6G,2022,"Hyderabad, Telangana",60000,Yes
Royal Enfield Meteor 350 Fireball,2025,"Mysore, Karnataka",220000,Yes
Royal Enfield Continental GT 650 Twin,2022,"Chandannagar, Hooghly, West Bengal",320000,Yes
KTM RC 200,2018,"Ujjain, Madhya Pradesh",90000,Yes
Yamaha SZ-R,2011,"Indore, Madhya Pradesh",15000,Yes
Jawa Jawa,2020,"Sankrail, Howrah, West Bengal",65000,Yes
River Indie 2024,2024,"Bangalore, Karnataka",115000,Yes
Suzuki Burgman Street Ride Connect Edition,2023,"Mira-Bhayandar, Thane, Maharashtra",90000,Yes
Honda Shine 125 Drum OBD2,2025,"Ghaziabad, Uttar Pradesh",80000,Yes
Bajaj Pulsar NS 160 BS6,2025,"Bano, Simdega, Jharkhand",130000,Yes
Bajaj Avenger Cruise 220,2018,"Yamuna Vihar, North East Delhi, Delhi",75000,Yes
Suzuki Gixxer SF,2025,"Meerut, Uttar Pradesh",170000,Yes
Royal Enfield Classic 350,2016,"Vadodara, Gujarat",125000,Yes
Yamaha FZ-S FI V2,2015,"Kandivali, Mumbai, Maharashtra",50000,Yes
Bajaj Discover 100,2015,"Mangalore, Karnataka",15000,Yes
Benelli Imperiale 400 BS6,2020,"Daman, Daman n Diu",180000,Yes
Suzuki Access 125,2011,"Vasai-Virar, Palghar, Maharashtra",17000,Yes
Royal Enfield Thunderbird X 350,2019,"Angamaly, Ernakulam, Kerala",100000,Yes
Hero HF Deluxe ECO,2024,"Lucknow, Uttar Pradesh",50000,Yes
Honda Activa 5G,2018,"Punjabi Bagh, West Delhi, Delhi",35000,Yes
Yamaha FZ-S FI V3 BS6,2021,"Kanjhawala, North West Delhi, Delhi",80000,Yes
Royal Enfield Classic 350,2018,"New Delhi, Delhi",90000,Yes
Ola S1 X Gen 3 4kWh,2025,"Pune, Maharashtra",100000,Yes
Bajaj Avenger Cruise 220 BS6,2021,"North 24 Parganas, West Bengal",85000,Yes
Bajaj Pulsar N160 Dual Channel ABS,2023,"Gurgaon, Haryana",120000,Yes
Yamaha FZ-S FI V3,2019,"Pimpri-Chinchwad, Maharashtra",70000,Yes
Royal Enfield Classic 350 BS VI,2021,"Jaipur, Rajasthan",210000,Yes
BMW G 310 RR,2024,"Malad, Mumbai, Maharashtra",250000,Yes
TVS Apache RTR 180,2015,"Maraimalai Nagar, Chengalpattu, Tamil Nadu",25000,Yes
Honda Shine 125,2017,"Lucknow, Uttar Pradesh",25000,Yes
Royal Enfield Himalayan BS VI,2020,"Srirangam, Tiruchirappalli, Tamil Nadu",165000,Yes
Yamaha Aerox 155 Version S 2025,2025,"Hooghly, West Bengal",130000,Yes
BMW G 310 GS,2021,"Sangareddy, Telangana",320000,Yes
Hero CBZ Xtreme,2011,"Wakad, Pune, Maharashtra",25000,Yes
Bajaj Dominar 250,2020,"New Delhi, Delhi",100000,Yes
Bajaj Pulsar 125,2020,"Gurgaon, Haryana",50000,Yes
Yamaha FZ-S,2016,"Balasinor, Mahisagar, Gujarat",40000,Yes
Ola S1X 4 kWh,2024,"Saket, South Delhi, Delhi",79000,Yes
Bajaj Avenger 220 DTS-i,2015,Karnataka,40000,Yes
Bajaj Pulsar 220F,2010,"Bandhabahal, Jharsuguda, Orissa",25000,Yes
Bajaj Pulsar 150 BS6,2025,"Hyderabad, Telangana",125000,Yes
Suzuki Access 125,2008,"Tirumalagiri, Hyderabad, Telangana",7000,Yes
Honda CB Unicorn,2016,"Sarjapur Road, Bangalore, Karnataka",50000,Yes
Honda Shine 125 Disc,2022,"Ameerpet, Hyderabad, Telangana",60000,Yes
TVS iQube Electric,2023,"Chakan, Pune, Maharashtra",99500,Yes
Royal Enfield Hunter 350 Metro,2023,"Rajajinagar, Bangalore, Karnataka",180000,Yes
Hero Passion Pro,2012,"Hyderabad, Telangana",16000,Yes
TVS NTORQ 125,2020,"Thane, Maharashtra",43000,Yes
Revolt RV 400,2024,"Andheri East, Mumbai, Maharashtra",125000,Yes
Yezdi Roadster Dark,2023,"Ahmedabad, Gujarat",170000,Yes
Yamaha Fascino,2019,"Hyderabad, Telangana",38000,Yes
Yezdi Adventure Matte,2023,"Kanjurmarg, Mumbai, Maharashtra",180000,Yes
Honda Activa 125,2017,"Kolkata, West Bengal",30000,Yes
Royal Enfield Bear 650,2025,"Berhampore, Murshidabad, West Bengal",424000,Yes
Hero Xtreme 125R,2024,"Abu Road, Sirohi, Rajasthan",83000,Yes
Bajaj Dominar 400 ABS BS6,2019,"Chanakyapuri, New Delhi, Delhi",120000,Yes
Hero Maestro Edge 125,2012,"Thiruvalla, Pathanamthitta, Kerala",17000,Yes
TVS Jupiter,2018,"Dwarka, South West Delhi, Delhi",35000,Yes
Yamaha R15M,2021,"Rajajinagar, Bangalore, Karnataka",158000,Yes
Bajaj CT 125X,2023,"Memari, Bardhaman, West Bengal",74000,Yes
Bajaj Pulsar NS 160,2023,"Muradnagar, Ghaziabad, Uttar Pradesh",80000,Yes
Hero Glamour,2015,"Whitefield, Bangalore, Karnataka",32000,Yes
Aprilia SR 160,2020,"Perinthalmanna, Malappuram, Kerala",80000,Yes
Hero Karizma XMR,2024,"Mathura, Uttar Pradesh",150000,Yes
Yamaha SZ-R,2012,"Kalyani, Nadia, West Bengal",20000,Yes
Royal Enfield Himalayan,2023,"Kolkata, West Bengal",225000,Yes
Bajaj Avenger Street 220,2018,"Hyderabad, Telangana",55000,Yes
Bajaj Pulsar 150 DTSi,2019,"Pune, Maharashtra",70000,Yes
TVS Ronin TD Special Edition,2024,"Guindy, Chennai, Tamil Nadu",135000,Yes
Yamaha Fazer,2010,"New Delhi, Delhi",20000,Yes
Bajaj Avenger Cruise 220 BS6,2021,"Kolkata, West Bengal",95000,Yes
E-Next Pro Plus,2024,"South West Delhi, Delhi",39000,Yes
Royal Enfield Hunter 350 Metro,2023,"Badshahpur, Gurgaon, Haryana",135000,Yes
Triumph Bonneville T120,2021,"Whitefield, Bangalore, Karnataka",950000,Yes
Hero Xtreme 160R 4V 2024,2025,"Badshahpur, Gurgaon, Haryana",130000,Yes
Royal Enfield Scram 411,2022,"Agra, Uttar Pradesh",140000,Yes
iVOOMi JeetX,2023,"Pune, Maharashtra",69000,Yes
Bajaj Avenger Cruise 220,2018,"Sohna, Gurgaon, Haryana",55000,Yes
Royal Enfield Classic 350,2021,"Pune, Maharashtra",190000,Yes
Royal Enfield Bullet 350,1989,"Kochi, Ernakulam, Kerala",85000,Yes
KTM Duke 200,2014,"HSR Layout, Bangalore, Karnataka",110000,Yes
BattRE LoEV,2021,"Ghaziabad, Uttar Pradesh",37999,Yes
Royal Enfield Meteor 350 Fireball,2024,"Chennai, Tamil Nadu",175000,Yes
Bajaj Pulsar 150,2013,"Bangalore, Karnataka",30000,Yes
Ola S1 Pro,2022,"Pimpri-Chinchwad, Maharashtra",90000,Yes
BSA Gold Star 650,2024,"New Delhi, Delhi",299000,Yes
Royal Enfield 2023 Interceptor 650,2022,"Kundli, Sonipat, Haryana",265000,Yes
Honda CBR 250R,2018,"Electronic City, Bangalore, Karnataka",140000,Yes
Bajaj Pulsar 125,2023,"Farrukhabad, Uttar Pradesh",90000,Yes
Ola S1 Pro,2023,"North 24 Parganas, West Bengal",125000,Yes
TVS Jupiter,2017,"Badkhal, Faridabad, Haryana",25000,Yes
KTM 390 Adventure,2023,"Mumbai, Maharashtra",310000,Yes
Royal Enfield Classic Desert Storm,2017,"Madukkarai, Coimbatore, Tamil Nadu",135000,Yes
Yamaha R15M Monster Energy MotoGP Edition,2024,"Kachchh, Gujarat",195000,Yes
Hero Splendor Plus,2013,"Panipat, Haryana",28000,Yes
KTM RC 200,2021,"Bangalore, Karnataka",140000,Yes
Royal Enfield Himalayan 2021,2021,"Lucknow, Uttar Pradesh",200000,Yes
Bajaj Pulsar RS 200 ABS,2015,"Chakan, Pune, Maharashtra",60000,Yes
Yamaha YZF R15 V3,2020,"Araria, Bihar",90000,Yes
TVS Apache RTR 180,2020,"Kanpur, Uttar Pradesh",75000,Yes
Yamaha FZ FI V3 BS6,2023,"Ratnagiri, Maharashtra",95000,Yes
Honda Unicorn,2010,"Koramangala, Bangalore, Karnataka",50000,Yes
TVS iQube S,2022,"Hebbal, Bangalore, Karnataka",87000,Yes
Honda Activa 6G H-smart,2023,"Kolkata, West Bengal",75000,Yes
Suzuki Gixxer SF Fi,2018,"Marathahalli, Bangalore, Karnataka",60000,Yes
Ola S1 Pro,2024,"Narnaul, Mahendragarh, Haryana",98000,Yes
Jawa Jawa BS6,2023,"Pimpri-Chinchwad, Maharashtra",120000,Yes
Royal Enfield Himalayan 2021,2021,"Kolkata, West Bengal",140000,Yes
Yamaha FZ25,2018,"Bannerghatta Road, Bangalore, Karnataka",100000,Yes
Royal Enfield Thunderbird 350,2014,"Kolkata, West Bengal",55000,Yes
,,"Pune, Maharashtra",38999,Yes
Ola S1 Pro,2022,"Electronic City, Bangalore, Karnataka",79999,Yes
Royal Enfield Thunderbird 350,2019,"Chennai, Tamil Nadu",120000,Yes
Bajaj Pulsar NS 125,2025,"Faridabad, Haryana",95000,Yes
Ola S1 Pro,2022,"Thumkunta, Medchal-Malkajgiri, Telangana",80000,Yes
Bajaj Avenger 220 DTS-i,2018,"Hyderabad, Telangana",100000,Yes
Royal Enfield Classic 500,2017,"Guwahati, Assam",95000,Yes
Honda XBlade BS6,2020,"Ameerpet, Hyderabad, Telangana",79000,Yes
Bajaj Discover 150 S,2012,"Marathahalli, Bangalore, Karnataka",20000,Yes
Aprilia SR 160 Carbon ABS,2020,Telangana,40000,Yes
Suzuki Access 125,2023,"Bangalore, Karnataka",90000,Yes
Bajaj Avenger Cruise 220,2019,"Pune, Maharashtra",81000,Yes
Hero Duet 110,2016,"Bangalore, Karnataka",43500,Yes
Hero Xpulse 200 4V,2022,"Hyderabad, Telangana",120000,Yes
Aprilia SXR 160,2020,"Andheri East, Mumbai, Maharashtra",45000,Yes
Bajaj Pulsar N160 Dual Channel ABS,2024,"Bhilwara, Rajasthan",100000,Yes
Bajaj Avenger Cruise 220,2018,"Chennai, Tamil Nadu",60000,Yes
Honda CB350 DLX Pro,2024,"Gandhinagar, Ahmedabad, Gujarat",210000,Yes
KTM Duke 390 2022,2022,"Dehradun, Utarakhand",250000,Yes
Bajaj V15,2016,"Noida, Uttar Pradesh",30000,Yes
Hero CBZ Xtreme,2013,"Ahmedabad, Gujarat",45000,Yes
KTM 390 Adventure 2022,2022,"New Delhi, Delhi",290000,Yes
Bajaj Dominar 400 Disc,2018,"Badlapur, Thane, Maharashtra",140000,Yes
BMW F 900 GS Adventure,2025,"Pune, Maharashtra",1500000,Yes
Yamaha Aerox 155 2025,2025,"Andheri East, Mumbai, Maharashtra",160000,Yes
Royal Enfield Bullet 350 ES BS6,2021,"Sanganer, Jaipur, Rajasthan",130000,Yes
Hero XPulse 200T,2019,"Nagercoil, Kanyakumari, Tamil Nadu",60000,Yes
KTM 390 Adventure X,2024,"Chennai, Tamil Nadu",300000,Yes
TVS Apache RTR 160 4V,2020,"Dehradun, Utarakhand",90000,Yes
Yamaha FZ-S,2012,"Greater Noida, Uttar Pradesh",35000,Yes
Hero Passion X Pro,2018,"South Delhi, Delhi",30000,Yes
Harley Davidson X440 S,2023,"Rajouri Garden, West Delhi, Delhi",265000,Yes
Yezdi Roadster Dark,2022,"Udaipur, Rajasthan",170000,Yes
Honda Dream Yuga,2014,"Hadapsar, Pune, Maharashtra",30000,Yes
Royal Enfield Classic Stealth Black,2021,"Saket, South Delhi, Delhi",165000,Yes
TVS NTORQ 125 Race XP,2022,"Khammam, Telangana",65000,Yes
Suzuki Gixxer SF BS6,2025,"Bhilwara, Rajasthan",120000,Yes
Hero Glamour Xtec,2022,"North 24 Parganas, West Bengal",60000,Yes
Hero Xtreme,2012,"Kalyan, Thane, Maharashtra",20000,Yes
Harley Davidson Fat Bob,2018,"Gurgaon, Haryana",1200000,Yes
Royal Enfield Hunter 350 Metro,2023,"Pune, Maharashtra",165000,Yes
Royal Enfield Bullet,2025,"Kolkata, West Bengal",170000,Yes
TVS Apache RTR 180,2018,"Ghaziabad, Uttar Pradesh",50000,Yes
Bajaj Pulsar NS 200 2024,2024,"Narasaraopet, Palnadu, Andhra Pradesh",145000,Yes
Royal Enfield Bullet Machismo A350,2004,"Bangalore, Karnataka",90000,Yes
Ather 450X,2022,"Bangalore, Karnataka",110000,Yes
Keeway SR 125,2024,"Kalyan, Thane, Maharashtra",95000,Yes
Yamaha FZ-S,2019,"Wakad, Pune, Maharashtra",70000,Yes
Yezdi Roadster Chrome,2022,"Madurai, Tamil Nadu",155000,Yes
Yezdi Roadster Dark,2024,"Hyderabad, Telangana",168000,Yes
Bajaj Pulsar 150 BS6,2022,"Hyderabad, Telangana",85000,Yes
Bajaj Pulsar 125,2020,"Motihari, EastChamparan, Bihar",45000,Yes
Revolt RV 400,2020,"New Delhi, Delhi",70000,Yes
Jawa 42 Bobber Dual Channel ABS,2022,"Chennai, Tamil Nadu",120000,Yes
Royal Enfield Interceptor 650 Twin,2021,"Ahmedabad, Gujarat",250000,Yes
Suzuki Lets 110,2018,,,Yes
Hero Xpulse 200 4V,2025,"Bhopal, Madhya Pradesh",115000,Yes
Royal Enfield Thunderbird 350,2017,"New Delhi, Delhi",94000,Yes
Bajaj Platina 100,2019,"Pillu Khera, Jind, Haryana",38000,Yes
Revolt RV 400,2021,"Pune, Maharashtra",60000,Yes
Vespa VXL 150,2020,"Marathahalli, Bangalore, Karnataka",85000,Yes
Triumph Thruxton 400,2025,"Bannerghatta Road, Bangalore, Karnataka",350000,Yes
Bajaj,2013,,,Yes
Brazen  Prime,2022,"Rewari, Haryana",31000,Yes
Ola Roadster X Plus,2025,"Noida, Uttar Pradesh",140000,Yes
Honda Dio,2017,"Coimbatore, Tamil Nadu",50000,Yes
Jawa 42 Dual Channel ABS AllStar Black,2021,"Beed, Maharashtra",150000,Yes
Honda CBR 250R,2015,"Banashankari, Bangalore, Karnataka",90000,Yes
Yamaha FZ-X,2023,"Kompally, Medchal-Malkajgiri, Telangana",120000,Yes
Honda CD 110 Dream Deluxe,2021,"Hyderabad, Telangana",57000,Yes
Bajaj Pulsar AS 150,2019,"Gurgaon, Haryana",53000,Yes
,,"Bhubaneshwar, Orissa",65000,Yes
Bajaj Pulsar 180,2016,"Banashankari, Bangalore, Karnataka",50000,Yes
Hero Karizma ZMR,2014,"Hyderabad, Telangana",55000,Yes
Ola S1,2022,"Ankola, Uttara Kannada, Karnataka",75000,Yes
Bajaj Pulsar,2018,,,Yes
