Bike Model,Model Year,Location,Price (Rs),Finance_Available(Yes/No)
Zelio Legender Plus,2025,"Bhavnagar, Gujarat",50000,Yes
TVS Ronin SS,2024,"Bhandup, Mumbai, Maharashtra",120000,Yes
Hero Splendor Plus Xtec,2023,"Mumbai, Maharashtra",65000,Yes
TVS NTORQ 125,2020,"Navi Mumbai, Maharashtra",45000,Yes
Honda Activa 5G,2018,"Pune, Maharashtra",52000,Yes
Hero Maestro,2013,"Hyderabad, Telangana",38000,Yes
Suzuki Intruder 150 FI,2022,"Bangalore, Karnataka",85000,Yes
Bajaj Pulsar NS200,2023,"Sholinganallur, Chennai, Tamil Nadu",110000,Yes
Hero Xtreme 200S,2019,"Ghaziabad, Uttar Pradesh",50000,Yes
Yamaha FZ-S FI V3,2019,"Dadar, Mumbai, Maharashtra",85000,Yes
KTM Duke 200 ABS,2023,"Dadar, Mumbai, Maharashtra",175000,Yes
Bajaj Platina 100 ES,2020,"Pimpri-Chinchwad, Maharashtra",55000,Yes
Hero Maestro Edge,2018,"Mirzapur, Uttar Pradesh",30000,Yes
TVS Apache RTR 200 4V 2020,2020,"Hyderabad, Telangana",80000,Yes
Bajaj Pulsar 220F,2016,"New Delhi, Delhi",55000,Yes
